,Año,Trimestre, Provincia ,Accesos por cada 100 hogares,Año-Trimestre
397,2020,1, Misiones ,"39,02 ",2020-Q1
398,2020,1, Neuquén ,"61,85 ",2020-Q1
399,2020,1, Río Negro ,"55,12 ",2020-Q1
400,2020,1, Salta ,"49,60 ",2020-Q1
401,2020,1, San Juan ,"32,39 ",2020-Q1
402,2020,1, San Luis ,"76,31 ",2020-Q1
403,2020,1, Santa Cruz ,"35,97 ",2020-Q1
404,2020,1, Santa Fe ,"69,52 ",2020-Q1
405,2020,1, Santiago Del Estero ,"42,47 ",2020-Q1
406,2020,1, Tierra Del Fuego ,"76,07 ",2020-Q1
407,2020,1, Tucumán ,"47,85 ",2020-Q1
408,2019,4, Buenos Aires ,"64,25 ",2019-Q4
409,2019,4, Capital Federal ,"106,25 ",2019-Q4
410,2019,4, Catamarca ,"36,44 ",2019-Q4
411,2019,4, Chaco ,"36,84 ",2019-Q4
412,2019,4, Chubut ,"51,15 ",2019-Q4
413,2019,4, Córdoba ,"70,48 ",2019-Q4
414,2019,4, Corrientes ,"38,77 ",2019-Q4
415,2019,4, Entre Ríos ,"57,99 ",2019-Q4
416,2019,4, Formosa ,"30,47 ",2019-Q4
417,2019,4, Jujuy ,"45,38 ",2019-Q4
418,2019,4, La Pampa ,"76,92 ",2019-Q4
419,2019,4, La Rioja ,"47,14 ",2019-Q4
420,2019,4, Mendoza ,"33,65 ",2019-Q4
421,2019,4, Misiones ,"39,79 ",2019-Q4
422,2019,4, Neuquén ,"59,36 ",2019-Q4
423,2019,4, Río Negro ,"55,71 ",2019-Q4
424,2019,4, Salta ,"50,35 ",2019-Q4
425,2019,4, San Juan ,"32,85 ",2019-Q4
426,2019,4, San Luis ,"74,92 ",2019-Q4
427,2019,4, Santa Cruz ,"36,71 ",2019-Q4
428,2019,4, Santa Fe ,"69,48 ",2019-Q4
429,2019,4, Santiago Del Estero ,"42,92 ",2019-Q4
430,2019,4, Tierra Del Fuego ,"79,70 ",2019-Q4
431,2019,4, Tucumán ,"47,65 ",2019-Q4
432,2019,3, Buenos Aires ,"69,36 ",2019-Q3
433,2019,3, Capital Federal ,"112,65 ",2019-Q3
434,2019,3, Catamarca ,"30,88 ",2019-Q3
435,2019,3, Chaco ,"35,85 ",2019-Q3
436,2019,3, Chubut ,"47,57 ",2019-Q3
437,2019,3, Córdoba ,"68,59 ",2019-Q3
438,2019,3, Corrientes ,"38,49 ",2019-Q3
439,2019,3, Entre Ríos ,"57,90 ",2019-Q3
440,2019,3, Formosa ,"30,11 ",2019-Q3
441,2019,3, Jujuy ,"44,32 ",2019-Q3
442,2019,3, La Pampa ,"77,45 ",2019-Q3
443,2019,3, La Rioja ,"47,94 ",2019-Q3
444,2019,3, Mendoza ,"40,74 ",2019-Q3
445,2019,3, Misiones ,"39,33 ",2019-Q3
446,2019,3, Neuquén ,"64,14 ",2019-Q3
447,2019,3, Río Negro ,"63,42 ",2019-Q3
448,2019,3, Salta ,"44,48 ",2019-Q3
449,2019,3, San Juan ,"37,06 ",2019-Q3
450,2019,3, San Luis ,"85,23 ",2019-Q3
451,2019,3, Santa Cruz ,"35,63 ",2019-Q3
452,2019,3, Santa Fe ,"68,87 ",2019-Q3
453,2019,3, Santiago Del Estero ,"55,30 ",2019-Q3
454,2019,3, Tierra Del Fuego ,"96,46 ",2019-Q3
455,2019,3, Tucumán ,"39,49 ",2019-Q3
456,2019,2, Buenos Aires ,"67,85 ",2019-Q2
457,2019,2, Capital Federal ,"110,55 ",2019-Q2
458,2019,2, Catamarca ,"32,13 ",2019-Q2
459,2019,2, Chaco ,"34,14 ",2019-Q2
460,2019,2, Chubut ,"46,99 ",2019-Q2
461,2019,2, Córdoba ,"68,07 ",2019-Q2
462,2019,2, Corrientes ,"38,16 ",2019-Q2
463,2019,2, Entre Ríos ,"57,48 ",2019-Q2
464,2019,2, Formosa ,"30,42 ",2019-Q2
465,2019,2, Jujuy ,"44,51 ",2019-Q2
466,2019,2, La Pampa ,"77,08 ",2019-Q2
467,2019,2, La Rioja ,"48,70 ",2019-Q2
468,2019,2, Mendoza ,"40,75 ",2019-Q2
469,2019,2, Misiones ,"39,15 ",2019-Q2
470,2019,2, Neuquén ,"63,08 ",2019-Q2
471,2019,2, Río Negro ,"61,09 ",2019-Q2
472,2019,2, Salta ,"41,89 ",2019-Q2
473,2019,2, San Juan ,"35,60 ",2019-Q2
474,2019,2, San Luis ,"81,79 ",2019-Q2
475,2019,2, Santa Cruz ,"28,85 ",2019-Q2
476,2019,2, Santa Fe ,"67,42 ",2019-Q2
477,2019,2, Santiago Del Estero ,"52,79 ",2019-Q2
478,2019,2, Tierra Del Fuego ,"94,80 ",2019-Q2
479,2019,2, Tucumán ,"40,14 ",2019-Q2
480,2019,1, Buenos Aires ,"66,24 ",2019-Q1
481,2019,1, Capital Federal ,"109,20 ",2019-Q1
482,2019,1, Catamarca ,"32,19 ",2019-Q1
483,2019,1, Chaco ,"32,64 ",2019-Q1
484,2019,1, Chubut ,"43,00 ",2019-Q1
485,2019,1, Córdoba ,"65,52 ",2019-Q1
